,job_name,job_score,number_of_jobs,unemployment_rate,median_salary,job_dscription
0,Information Security Analyst,8.5,47100,1.2,103590,"Information security analysts are responsible for protecting information in an organization’s computer systems from data breaches and cyberattacks. Since lots of sensitive data is stored electronically these days, including bank account numbers and passwords, these professionals are crucial.Information security analysts may install and maintain firewalls or data encryption software, develop security standards and best practices to protect sensitive information, identify risks and vulnerabilities in an organization’s network systems, and investigate if a data breach occurs.“The opportunities are vast right now in the profession,” says Casey Cegielski, a professor at Auburn University who specializes in information security, and a partner at a cybersecurity consulting firm. “Every organization needs security people who have a strong industry understanding and are willing to learn technical skills and continue to grow.”The Bureau of Labor Statistics projects 33.3 percent employment growth for information security analysts between 2020 and 2030. In that period, an estimated 47,100 jobs should open up."
1,Nurse Practitioner,8.4,114900,1.2,111680,"Nurse practitioners are registered nurses with additional education. Extra schooling allows these professionals to take patient histories, perform physical exams, order labs, analyze lab results, prescribe medicines, authorize treatments and educate patients and families on continued care. Nurse practitioners, also known as advanced practice registered nurses, specialize by patient population, training to work in areas like women's health or pediatrics. They may also work in research or academia.Their job sounds similar to a physician's role, right? So, what's the difference? The main contrast is the amount of formal education required. Physicians have more training, and their breadth of knowledge and their salaries are usually commensurate with their additional work. However, increasingly – and somewhat controversially – nurse practitioners are providing primary care to patients. Many nurse practitioners first worked as registered nurses, where their treatment of patients extended to holistic and wellness care; they bring that background to the diagnosis, treatment and management of medical issues.Nurse practitioners are handsomely paid for their work, with the top 50% taking home six-figure salaries. The Bureau of Labor Statistics projects 52.2 percent employment growth for nurse practitioners between 2020 and 2030. In that period, an estimated 114,900 jobs should open up."
2,Physician Assistant,8.3,40100,1.4,115390,"Physician assistants, also known as physician associates, are ubiquitous in the medical world. They use their medical expertise to examine, diagnose and treat patients, working closely with other health care professionals as a team to provide patient care.Jennifer M. Orozco, president and chair of the American Academy of Physician Associates board for the July 2021 to June 2022 term and director of advanced practice providers at Rush University Medical Center in Chicago, says physician assistants “help fill in a lot of access gaps across the country.”“They practice medicine in every health care setting, from hospitals to emergency rooms to private practice to operating suites,” Orozco says. “They take care of a patient in every specialty, from primary care to pediatrics all the way through geriatrics and palliative care.”While specific duties depend on factors including setting, specialty and state laws, physician assistants can take medical histories, assist in surgeries, conduct physical exams, prescribe medication, perform clinical research and more, according to the AAPA.“The team-based model is the hallmark of our profession,” Orozco says. “It’s who we are and really it’s about us keeping that commitment to our patients because we know that our patients’ needs are first. And patients have better outcomes when they have a team-based approach to care.”The Bureau of Labor Statistics projects 31.0 percent employment growth for physician assistants between 2020 and 2030. In that period, an estimated 40,100 jobs should open up."
3,Medical and Health Services Manager,8.1,139600,2.2,104280,"Medical and health services managers are the planners, directors and coordinators who work behind the scenes to keep hospitals, nursing homes, group practices and other health care facilities running efficiently. In short, they are super-organized professionals.Medical and health services managers are usually extremely detail-oriented people with good analytical skills. Because much of their time is spent working with doctors, health insurance representatives and other administrators, they should also have good interpersonal and communication skills. Problem-solving is another part of the job. Technical skills are also a must because these professionals must keep up-to-date with software and electronic health records.A high demand for more medical and health services managers is driven by the large baby boomer population needing more health care in hospitals, group practices and nursing homes as they age. It’s also driven by the uptick in group practices and the need for managers and administrators to helm these facilities. The Bureau of Labor Statistics projects 32.5 percent employment growth for medical and health services managers between 2020 and 2030. In that period, an estimated 139,600 jobs should open up."
4,Software Developer,8.0,409500,3,110140,"Software developers invent the technologies we sometimes take for granted. For instance, that app that rings, sings or buzzes you out of a deep sleep every morning? A software developer helped design that. And when you roll into the office and turn on your computer, clicking and scrolling through social media, music and your personal calendar – software developers had a big hand in shaping those, too. You might spend your lunch shopping, and before you make that big purchase, you check your bank account balance using your phone. Later, you're cooking a new recipe from that great app your friend told you about. As you look over the course of your day, you come to see that software developers are the masterminds behind the technologies you now can't imagine living without.The best software developers are creative and have the technical expertise to carry out innovative ideas. You might expect software developers to sit at their desks designing programs all day – and they do, but their job involves many more responsibilities. They could spend their days working on a client project from scratch and writing new code. But they could also be tasked with maintaining or improving the code for programs that are already up and running. Software developers also check for bugs in software. And although the job does involve extreme concentration and chunks of uninterrupted time, software developers have to collaborate with others, including fellow developers, managers or clients. Developers are often natural problem solvers who possess strong analytical skills and the ability to think outside the box.Software developers are employed in a range of industries, including computer systems design, manufacturing and finance. The Bureau of Labor Statistics projects 22.2 percent employment growth for software developers between 2020 and 2030. In that period, an estimated 409,500 jobs should open up."
5,Data Scientist,7.9,19800,2,98230,"Data scientists use technology to glean insights from large amounts of data they collect. It’s a field that requires statistics, quantitative reasoning and computer programming skills. On top of all that, you need to be a good communicator so you can report your research findings and explain how they address a larger question you’re trying to answer. “A data scientist really is a scientist at heart,” says Scott Beliveau, chief of the enterprise advanced analytics branch within the U.S. Patent and Trademark Office's Office of the Chief Technology Officer. “But rather than using chemicals or other things, a data scientist uses data – numbers, zeros, sometimes it’s textual information – to try and solve and answer problems.” While data science is still a new career field, employers are increasingly recognizing the value of professionals with this expertise. Today, you’ll find data scientists working at a range of organizations, including tech startups, government agencies, large companies and research institutions. Chris Holdgraf, director of the nonprofit International Interactive Computing Collaboration, which helps researchers and educators run data science infrastructure in the cloud, started learning about data science as a graduate student at University of California, Berkeley. With the help of data whizzes at the university, he taught himself coding, analytics and other skills that he thought would help him conduct neuroscience research.“By the end of my Ph.D., I had inadvertently built a pretty nice set of (data science) skills,” he says. While serving as a fellow at the university’s Berkeley Institute for Data Science, Holdgraf collected data from electrodes placed directly onto the surface of patients’ brains to learn more about how they hear. Feeding the data into computer programs he created, Holdgraf ran experiments, made observations and drew conclusions about the brain’s response to different types of sounds. Then, he wrote papers about the results.“Being a data scientist gives me the flexibility to work with people with many different kinds of backgrounds and to work on problems that are meaningful to lots of different communities, which I really enjoy,” he says. The Bureau of Labor Statistics projects 31.4 percent employment growth for data scientists between 2020 and 2030. In that period, an estimated 19,800 jobs should open up."
6,Financial Manager,7.6,118200,2.9,134180,"Financial managers have the responsibility of overseeing the finances of major companies, agencies and everything in between. Along with their teams, they coordinate accounting and produce financial reports, cash-flow statements and profit projections. To comply with various laws and regulations, they must pay attention to detail. Aside from working with numbers, financial managers must also help other members of their organization understand their complex reports, which requires significant communication skills. Financial managers face a competitive job market. Those who can also handle international finance and the increasingly complicated world of financial instruments and securities, including derivatives, will be the most marketable.The Bureau of Labor Statistics projects 17.3 percent employment growth for financial managers between 2020 and 2030. In that period, an estimated 118,200 jobs should open up."
7,Statistician,7.6,14900,2,92270,"Statisticians practice the science of using data to make decisions. They decide what data they need and how to collect it, design experiments, analyze and interpret data, and report conclusions. And unlike most professions, statistics can be applied to a vast number of fields or issues, like the environment, public safety, health care and sports. As the famous mathematician and statistician John Tukey once told a colleague, ""The best thing about being a statistician is that you get to play in everyone's backyard.""Devan Mehrotra, executive director of the biostatistics department at Merck Research Laboratories, says, ""I absolutely fell in love with statistics. Any real-world problem almost always is going to require some data to be analyzed and interpreted, generating value-added solutions by using statistics.""Going forward, Mehrotra sees statisticians working closely with collaborators from the biomedical, computer, environmental, genetics and social sciences as well as contributing to quantitative solutions involving human rights and counterterrorism. ""Statistics is one of oldest professions in the world; it dates back to the 1700s. There's a tremendous history ... and now more exciting opportunities. It has never been a better time to be a statistician,"" Mehrotra says.While some may confuse statisticians with the growing data scientist profession, the fields have some key differences. Statistics is just one component of data science. Data scientists should have a basic working knowledge of statistics. However, data scientists tend to focus more on software programming and machine learning than statisticians do. Data scientists may serve as the lead software engineering coordinator at companies with smaller data science teams. Data scientists should possess the skills to log data, which is not necessarily expected of statisticians.The Bureau of Labor Statistics projects 35.4 percent employment growth for statisticians between 2020 and 2030. In that period, an estimated 14,900 jobs should open up."
8,Lawyer,7.6,71500,1.1,126930,"A lawyer advises and represents individuals or organizations in legal matters. Depending on their specialty and what type of law they practice, a lawyer may represent a client in civil or criminal court, or help a client write a will.“There’s a reason why lawyers are usually called counsel; that’s essentially what our job is, to counsel,” says Juan Santamaria, a Houston-based staff attorney at the nonprofit Lone Star Legal Aid, who specializes in landlord-tenant cases. “We don’t just go to court to fight and argue. Our entire job is to complete a task for our client and to give our best counsel to that client to complete that task.”Lawyers may work for nonprofit organizations or for federal, state or local governments, but the majority work in private or corporate legal offices, according to the Bureau of Labor Statistics.Some lawyers work as district attorneys, prosecuting criminal cases within a jurisdiction, while others work as public defenders, representing individuals who are accused of crimes and can’t afford to hire an attorney. Some lawyers work as legal advisers to universities, municipalities or corporations. Environmental lawyers may work with waste disposal companies to make sure they comply with relevant laws related to the environment, family lawyers may advise clients during child custody or adoption proceedings, and securities lawyers may advise companies that are interested in listing in the stock exchange through an initial public offering.The Bureau of Labor Statistics projects 8.9 percent employment growth for lawyers between 2020 and 2030. In that period, an estimated 71,500 jobs should open up."
9,Speech-Language Pathologist,7.4,45400,2.5,80480,"Speech-language pathologists evaluate, diagnose and treat people with speech, language or swallowing difficulties. They work with many types of patients, including stroke victims who are relearning to speak, babies who have trouble swallowing, people who speak with a stutter and children with language delays. “Our field is so broad,” says Karen George, a speech-language pathologist and owner of Chicago Speech Therapy. “We’re trained to work with babies through adults – the entire life span.”Sometimes called speech therapists, SLPs work in a variety of settings, such as rehabilitation centers and nursing homes. George started her career in a hospital before moving to her own private practice, while Theresa Rodgers, former president of the American Speech-Language-Hearing Association, spent her career in a public school setting. “Communication is such an essential skill in life, but certainly in a school environment,” Rodgers says. “It was so rewarding to be able to work on curriculum-based activities and see children become more successful in the classroom.”Indeed, George says that helping someone communicate can boost their overall standard of living. “Communication is just such a key part of everyday life.” The Bureau of Labor Statistics projects 28.7 percent employment growth for speech-language pathologists between 2020 and 2030. In that period, an estimated 45,400 jobs should open up."
